ID,Typ,Sparte,Institution,Adresse,PLZ,Ort,lat,lon,Webseite,Kommentare (Intern),
128,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Galerie Crystal Ball,Schönleinstr. 7,10967,Berlin,52.4921445,13.4207943,www.galeriecrystalball.de,,
129,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Galerie im Körnerpark,Schierker Str. 8,12051,Berlin,52.4717028,13.4380648,http://www.xn--krnerpark-07a.de/ausstellungen/,,
130,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Galerie Loris,ehem. Potsdamer Str. 65,10785,Berlin,52.5035628,13.366542,lorisberlin.de,,
131,VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Galerie M,Marzahner Promenade 46,12679,Berlin,52.5459238,13.554951,http://www.kultur-marzahn-hellersdorf.de/GALERIE-M.10.0.html,,
132,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME","Galerie Nord, Kunstverein Tiergarten",Turmstr. 75,10551,Berlin,52.5266505,13.333852,http://www.kunstverein-tiergarten.de/,,Kommunale Galerie
133,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Galerie Pankow,Breite Str. 8,13187,Berlin,52.5713584,13.4095849,https://galerie-pankow.de/,,Kommunale Galerie
134,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Galerie Wedding,Müllerstraße 146/147,13353,Berlin,52.5475028,13.3562332,http://galeriewedding.de/,,Kommunale Galerie
135,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",galerie weisser elefant und Atelier Farbklang,Auguststr. 21,10119,Berlin,52.52676,13.39618,http://www.galerieweisserelefant.de/,,Kommunale Galerie
137,ORG+VENUE,GEDENKSTÄTTEN,Gedenkstätte Berlin-Hohenschönhausen,Genslerstraße 66,13055,Berlin,52.5413581,13.5011448,https://www.stiftung-hsh.de/,,
138,ORG+VENUE,GEDENKSTÄTTE,Gedenkstätte Deutscher Widerstand,Stauffenbergstraße 13-14,10785,Berlin,52.50768,13.36306,https://www.gdw-berlin.de/home/,,
139,VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Gemeinschaftshaus in der Gropiusstadt,Bat-Yam-Platz 1,12353,Berlin,52.425502,13.4614583,http://www.qm-gropiusstadt.de/185.0.html,,
140,ORG+VENUE,"LITERATUR, BILDENDE KUNST, SONSTIGES",GERMAN TATAMI,Wriezenerstr.7,13359,Berlin,52.5568015,13.38892,www.german-tatami.de,,
141,VENUE,BIBLIOTHEK,Gertrud-Kolmar-Bibliothek,Pallasstraße 27,10781,Berlin,52.4943826,13.3577659,https://www.berlin.de/stadtbibliothek-tempelhof-schoeneberg/bibliotheken/stadtteilbibliothek-schoeneberg-nord/,,
143,ORG+VENUE,"BÜHNEN UND THEATER, LITERATUR, BILDENDE KUNST, DARSTELLENDE KUNST, SONSTIGES",Brotfabrik Kunst- und Kulturzentrum,Caligariplatz 1,13086,Berlin,52.5526252,13.4305089,http://brotfabrik-berlin.de/,,Sonderkultureinrichtung
